group,stor_Losses (%)_day0,stor_Losses (%)_day3,stor_Losses (%)_day6,stor_Losses (%)_day9,stor_Losses (%)_day12,stor_Losses (%)_day15,stor_Water (%)_day0,stor_Water (%)_day3,stor_Water (%)_day6,stor_Water (%)_day9,stor_Water (%)_day12,stor_Water (%)_day15,chem_Ash (%)_day0,chem_Ash (%)_day3,chem_Ash (%)_day6,chem_Ash (%)_day9,chem_Ash (%)_day12,chem_Ash (%)_day15,chem_Proteins (%)_day0,chem_Proteins (%)_day3,chem_Proteins (%)_day6,chem_Proteins (%)_day9,chem_Proteins (%)_day12,chem_Proteins (%)_day15,chem_Lipids (%)_day0,chem_Lipids (%)_day3,chem_Lipids (%)_day6,chem_Lipids (%)_day9,chem_Lipids (%)_day12,chem_Lipids (%)_day15
AG,0.003724553461831121,97.22820356784172,96.63298754530626,92.5167170036482,82.6850622277721,84.40478272742122,77.54036093260946,78.47665567902683,77.23231742361749,72.17726820380435,66.26175606862735,74.88252031678292,1.0638909742956326,1.0832281241136976,1.2088381813839606,1.1425631272657435,0.9281629792001712,1.0125618995988759,16.2175927824623,20.232821970870354,14.62771116195793,12.874199712654429,12.21108592213175,13.707211711996377,3.7047669800577223,3.0513355890801197,2.521471561832805,3.446399354232395,1.6341588903190523,2.6636616169314733
AG,0.024002545362209585,97.01114001698073,90.38084809807002,80.95557659699531,94.614146335976,83.83437432838738,82.046809265478,73.77878055928123,72.6369489702839,62.812756022768276,73.5038691359821,62.055721675596104,1.0632445952012153,0.9993130706154646,1.0546589374041229,0.9661991617833144,1.2280016973546635,0.9904359354082669,19.310500667664574,18.995840671917854,14.303167933663433,17.520758503198785,13.26496233699749,12.370628532256168,3.52951873607214,3.121074901701745,2.990246465319744,3.506558775981743,2.7405972956270404,2.1943832569335546
AG,0.011779887407297181,98.39936385712163,90.31852330520148,83.96119359858379,82.50244772303034,97.95057938921693,77.74133368936157,77.2978890342371,71.84041797151325,67.06087275748617,65.49830099819219,81.41900591412656,1.073268782068026,0.9897710039942079,0.9298723395798199,1.1005118113883416,1.0999434924746558,0.9979744819548427,19.66823315099058,16.940573688505744,15.770966976960798,13.283858752268284,12.922213684325742,10.431958776960265,2.2456598182213634,3.9530472306887647,3.644783841747154,3.0680641315577173,1.8516194335512688,2.6673935753486666
AG,0.02640208865664349,97.45579111271914,86.68711878683831,95.70275162555063,86.3920123530495,81.88514429504754,81.4733496245829,80.55557701638809,70.50734625472585,77.1845228074029,71.0129162264218,68.13535757382998,1.0792793885297667,1.0897381012300973,0.8936999442803815,1.030789718026758,1.0282441489746017,0.988312295098703,19.333977380116064,18.49031319644116,13.28685525907464,12.157483826704643,12.423553938389484,11.964042024854525,3.248277293909579,2.509083856919699,2.844975192643704,2.840490161175681,2.318762712596371,2.976086519687234
AG,0.006398636755666473,98.51235564621525,87.28772507546823,92.42215475156772,86.44564561958245,79.65806022325258,77.65302543525951,81.25956605684075,66.41460684546938,74.54345976026181,71.60343711553185,66.19913749812962,1.0660770635463617,1.0586085749528833,1.0011588158467364,1.1728479519279946,1.1932463967474718,0.9970857106806229,23.028129904521194,16.76582042762161,17.292869340313388,14.530808105443112,12.158290739275923,10.24186293319222,2.892490346585631,3.273656523621698,2.8935094294141392,2.594237122200787,2.606967404526237,2.559980850928919
AG,0.0012423098168594692,96.41724661646815,97.1191285225971,90.88230446149508,87.24448660905277,87.18896934719247,76.50966424876742,74.59550601046188,79.97496578901546,75.64962160087317,74.2916094519638,71.67586774898275,1.0641885950402248,1.0963641095619705,1.0360653818620036,1.0665684417290344,0.7620253502228789,0.9951843761064331,17.366346656051586,14.472888928068794,15.71953985264588,14.767714077396732,10.336078874567857,11.381796451373381,2.6627197461560113,2.7757974857792185,2.9897805039918737,1.8322878351182774,3.038727263018524,2.237628327780309
AG,0.008561631187868514,96.26786089502113,86.0385538610838,99.05446100659637,87.19486889707045,82.819948678669,76.66831540608221,76.90452951178925,68.38656274539139,81.94879387252412,65.57739548326511,65.75197771284788,1.0727792733432595,1.0715488684518444,1.1637889947253288,0.8948498676159704,0.9718969249472047,1.003322359415162,17.50130654563873,17.158363794714916,16.018021297537246,13.22291793520308,12.901013063850844,10.383229405388514,2.4922342143514253,3.4635822521294255,2.8282251855585003,2.8531886839079252,2.9311161157758057,2.189749224026651
AG,0.007109660136762615,97.74441066248183,81.46013214131803,95.74021546887528,83.92476023277862,88.80946630119418,78.96832442905706,75.93822905887403,58.03215886406788,81.46421428984507,65.57016288926172,75.92647755502355,1.068161712697228,1.0611676921602409,0.9561354965842135,1.0305561302707358,1.002830997505947,0.9912324468684035,21.891294489780794,13.966292260655013,13.664360547616791,12.782296935402524,13.293326575760197,12.343886871131735,3.299001335991851,3.3535647066892316,2.9831842245707145,2.976751061258581,3.6881570086163507,2.2095513135202833
AG,0.0010672312042430004,98.13197057947639,91.83800302817089,90.14230059659619,90.44637745817998,90.14862292285898,74.15516160442927,77.74978704429724,74.12721800022683,70.66839740663677,76.94528537923067,78.89849670675125,1.0693373244812263,0.9799427361330908,0.9500902164513538,1.2153663217952873,1.13410097811783,1.0112569018874877,18.298028716141474,12.598637193566237,14.401492419514435,10.269211378645474,15.004609653708133,13.061039483156915,3.4874185533824735,3.501875512646455,3.190430924024579,2.141544228962726,2.5437810248310018,2.6731711682678254
AG,0.01419940997491573,96.35463404249192,91.6168990055813,81.22763329999094,90.83510319963533,87.82894900223573,79.37309090004149,73.53380217477411,79.67563382123492,66.31473686294085,72.23282023151313,72.0509971073778,1.0672299783324966,0.9530281323483143,0.8572827272997752,1.1318608423178385,0.8324529268971348,0.9999693857487509,17.32895680923602,14.388383584690558,17.443914505628,14.783586252593741,10.246295344151076,11.563034083800462,4.017980660623866,3.272033335651406,2.675098247500638,3.9739026798991306,2.0935603605896924,2.5999002296184015
