group,bio_Bodymass(g),idx_Profileindex,idx_Fultoncoefficient,idx_Qualityindex,idx_Thicknessindex,idx_Fleshyindex,cut_Livemass(g),cut_Carcassmass(g),cut_Carcassyield(%),cut_Torsomass(g),cut_Torsoyield(%),cut_Filletmass(g),cut_Filletyield(%),fa_C14:0,fa_C16:0,fa_C16:1,fa_C18:0,fa_C18:1n-9,fa_C18:2n-6,fa_C18:3n-3,fa_C20:0,fa_C20:1n-9,fa_C20:2n-6,fa_C20:4n-6,fa_C20:3n-3,fa_C20:5n-3,fa_C22:0,fa_C22:5n-6,fa_C22:5n-3,fa_C22:6n-3,fa_ΣSFA,fa_ΣMUFA,fa_ΣPUFA,fa_n-3,fa_n-6,fa_n-3/n-6,fa_n-6/n-3,fa_PUFA/SFA,fa_USFA/SFA,fa_AI,fa_TI,fa_C14:1
AG,1967.9235453169474,5.410303843034122,0.995217860979714,1.9022622630665267,65.09830222957322,19.167075465671587,1830.454198909856,1709.415560870113,93.3875079686873,1141.3969006853426,62.35593883556946,813.0904012272924,44.42014455819414,2.6809009539563107,11.212213941838984,3.4139285178628027,2.883874216678865,19.118518770554005,8.843633899880457,1.7433299173533505,0.18072311521123474,5.750026438243591,0.4139314599315273,0.2565028313770932,5.790258843032052,3.2049162651046537,0.4918143834213708,0.169917036321227,2.0986664398151715,5.991373321617448,17.449526611106762,28.2824737266604,28.51253001443298,18.828544786922677,9.683985227510304,1.944297140544419,0.5143246776158874,1.6340002024057505,3.25481630572963,0.3862279481072173,0.21672011451845752,
AG,1839.641025345391,5.773206003701975,0.9313552314402213,1.874718865998225,68.13030677344165,20.843169870742667,1494.1210872807444,1393.2238952051844,93.24705387438243,930.8887433730195,62.30343385804219,691.9227916546504,46.309686513690075,2.828474739000187,11.511131367843634,3.628012773132372,3.0549886070778887,20.166223854238,7.695640583445979,1.628826580260037,0.1695510920441244,5.750034332852709,0.426630116101638,0.2587073520479027,5.375818522078709,3.318788964139354,0.4873367413494111,0.16846389010724153,2.122801087754232,6.825308019437012,18.051482547315242,29.544270960223084,27.820985115372107,19.271543173669343,8.549441941702762,2.2541287846714235,0.4436303758685937,1.5412022277089845,3.1778695143312206,0.39788945235014467,0.21986297859691847,
AG,1913.6200849790016,5.558478764481851,0.8314707583557357,1.7876168016439666,60.9100297642984,19.829139299956775,1830.0399020338673,1648.3136976072726,90.06982283694317,1142.3486340168452,62.422061548890994,833.1578598983617,45.52675922379659,3.2184361303522495,11.998235530075068,3.8264165615184256,3.3296455988864215,20.743031516141993,8.245787833595724,1.7383286011704406,0.17761253962750134,5.750024684832692,0.4295651770141378,0.2669082062840365,5.665092045128797,3.396441946805773,0.4979131157144103,0.1677321589767751,2.1052712769521422,6.577650781403873,19.22184291465565,30.31947276249311,28.592778027331697,19.482784651461024,9.109993375870674,2.1386167747458966,0.4675919556082303,1.4875149148956575,3.0648596521880482,0.4221868918269186,0.23095795458954954,
AG,1819.3178329115444,5.736826921555586,0.9325822705850786,1.8348992202976653,64.90311221479338,20.22427291407871,1613.133127552569,1512.5171247056703,93.76269688295643,1039.9092130232784,64.46518239948486,715.1057240446569,44.33023609958397,3.071665699622725,11.604225202424029,3.6327301984530758,2.9428799353206516,19.64454085369324,8.038238243187696,1.6807280542555794,0.20319860196350958,5.749943014546914,0.43281183643478566,0.24340379237675555,5.185003503256548,3.670267341445151,0.4937710464096489,0.17203649589805098,2.0991231041628082,7.264566997088951,18.315740485740566,29.02721406669323,28.78617936810633,19.899689000209037,8.886490367897288,2.239319256125822,0.4465642838842325,1.5716634219903562,3.156486819618856,0.4132414062125319,0.2177973780622409,
AG,1932.146132975218,5.678683863143417,0.863937849766026,1.9424626184046008,63.26711934444839,20.577354919271485,2017.0737460646262,1822.1710728414198,90.3373551114099,1234.95170213352,61.22491577429676,893.1305506468125,44.27852736615793,3.0276403814415085,11.448421118915967,3.6737433303841858,3.2282837436363643,19.674946536867573,8.27880508277658,1.665337245889933,0.17089628050370664,5.7499804765800695,0.45990159070983105,0.2471120558975925,5.436519122657647,3.3900081482756304,0.48668924533331837,0.1656126055208534,2.0838587557030097,7.5270861945609635,18.361930769830867,29.098670343831827,29.25424080199204,20.102809467087184,9.151431334904858,2.1966847295692657,0.4552314615470941,1.5932006916210317,3.177928937718207,0.40373277325972867,0.21688484235382877,
AG,2095.8141177020852,5.440968708199278,0.8999555892153718,1.8963869614102418,59.12667978574083,18.99524216195003,1825.0348425626244,1717.9757560999985,94.13386068222682,1184.692730926307,64.91343087252073,817.7032652656825,44.80480296570688,3.017057500279085,11.40932507822898,3.6711939240745437,2.9158843165955735,21.19943435043274,7.697379344302945,1.6909711911406473,0.17331641363593042,5.7500451605592415,0.42880396114418823,0.23589611823173298,6.0000157207440745,3.642412229839349,0.5081298619964294,0.17070763980508583,2.0901580313073214,7.163782917164108,18.023713170736,30.620673435066525,29.12012715367945,20.5873400901955,8.532787063483951,2.4127333703543346,0.4144676789765376,1.6156563787843685,3.314566761179015,0.3929902988907726,0.20706817467062905,
AG,1476.0138093449857,5.318978563260956,1.0774512025533376,2.0039825712889052,64.87955425307507,20.97612693262501,1489.3557343942907,1358.3981182764664,91.20709625688697,865.4270049486499,58.10747459206663,645.298943571009,43.32738839142732,2.9291030216298926,11.66271471735192,3.817882790856707,3.0035422771059284,19.990946201242814,7.825038903757158,1.6215274392382668,0.19767134276799986,5.7500410354541,0.4339099627409346,0.23125568897590956,6.381838793592767,3.3818999889631685,0.4853537692673627,0.1689973353855873,2.1144706004744895,7.138760448015709,18.2783851281231,29.55887002755362,29.297699161143992,20.6384972702844,8.65920189085959,2.383417955882264,0.419565522501836,1.6028603706389022,3.22000925005902,0.39722204549362433,0.21095544151035384,
AG,1846.066146477422,5.635917518957302,0.8720444828579493,1.89113408693141,66.66530855002901,19.880353025195486,2005.9471837682458,1755.6244068752276,87.5209687015399,1113.017916094401,55.48590337276757,864.9191629263705,43.11774357396529,2.8730694896476257,11.41989435945545,3.843574697851527,2.796001107686905,20.645644692793987,8.837852885933914,1.7106156115006386,0.1726122090312902,5.75000067422251,0.4595679085329691,0.2826482924322245,5.931161211731664,3.564612232570282,0.4838876206414474,0.17149635327890736,2.0676151276969623,6.9387551827650915,17.745464786462716,30.23922006486802,29.96432480644265,20.21275936626464,9.751565440178016,2.072770724891495,0.4824460264665055,1.6885624111294735,3.392615837103206,0.3805784587439551,0.20662193453267658,
AG,1778.8387872119422,5.44911315472278,0.9036976910279069,1.8081240910399854,62.70679122834955,18.735180565179345,1577.5365779955707,1437.6070447370994,91.1298707611416,928.9361250609371,58.88523524704892,688.1001206175222,43.618647593694924,3.0837311405408654,11.751055101612083,3.565719466717381,2.9805813285834213,19.096223129325377,7.761177182742876,1.659344561174275,0.16764377491355456,5.749936643890432,0.4334544472083564,0.24973910947621622,5.6329945396323495,3.5411393356256045,0.4819230962742189,0.16972187142005418,2.0738955380808504,7.236627746785165,18.464934441924143,28.41187923993319,28.75809433214575,20.144001721298242,8.614092610847502,2.338493748712595,0.42762568877959467,1.5574436195587709,3.09613737064108,0.42130471922307877,0.2191757354675842,
AG,1888.9996188686673,5.364173931032792,1.0735322157233933,1.9908365126181071,67.36746960689358,20.257818315971946,1975.0636595876201,1763.7017250955753,89.29847483821479,1200.3106330638225,60.77326304076899,870.0635541231197,44.05243091277286,3.3278894595818027,11.621941717815297,3.4052751565902355,3.231352865852798,18.77349388706476,8.224076535981668,1.605140555811339,0.17312606294423266,5.749941713271461,0.4371040456781199,0.2642692035860483,6.167613769362198,2.9979479296299387,0.4997232705193113,0.16399070706630084,2.087021867595748,6.699997856309092,18.85403337671344,27.928710756926456,28.647162471020454,19.557721978708315,9.089440492312137,2.1516970153718775,0.4647494479268821,1.5194182538364698,3.000730512009362,0.44070905376368197,0.22917284039549035,
AG,1998.3576913948602,5.120453042522842,1.0646186874188814,1.9490904773054858,69.16877226502234,20.439115746301873,1851.5432918643667,1618.3027492432627,87.40291174146687,1101.5930300692612,59.49593697914774,844.6862523950874,45.62065905272736,3.217345535128868,11.40755485391637,3.638873502914231,2.746122166607501,19.640772910247982,8.846371166912757,1.7197853145206583,0.18355555786584685,5.75003399111893,0.4265630119997758,0.2728947797258129,5.701159206329587,3.760836337511353,0.4784365326834647,0.1711461402254687,2.0926917500505855,7.642412079708063,18.033014646202048,29.02968040428114,30.63385978698406,20.91688468812025,9.716975098863815,2.152612770466605,0.4645517362527018,1.698765313953532,3.3085727129840157,0.40689736003942334,0.20611917983757727,
AG,1965.1869213464372,5.297642742387235,0.9685873764337525,1.9453561182908272,68.22131952040772,19.339613593977266,1972.2968430820308,1764.7678263164662,89.47780008402452,1195.067684562373,60.59268860841899,873.8767718473327,44.30756835171727,3.0631655279249643,11.849477693186435,3.707794599587036,2.9990281613907253,19.642382992949862,7.841531589581637,1.643179438377553,0.1867633933472506,5.750056681598788,0.42114014333746946,0.2583308060469946,5.696305345196673,3.362118144778221,0.4926793953144794,0.1686167742627212,2.076151828481535,6.903408994508685,18.591114171163852,29.100234274135687,28.37078306457149,19.681163751342666,8.689619313228823,2.26490517500354,0.44151958812069786,1.5260399566894491,3.0913164649297262,0.4193790352246525,0.22332829442445712,
AG,1913.118386580525,5.520848809374229,0.8138081598235213,1.8317609531771795,61.70054189811739,19.61698847528462,1574.2287375646845,1395.1300070023499,88.62308085930394,896.1343290342813,56.925293488199934,695.92716543316,44.207499763328684,2.9112936481808314,11.561993197880625,4.014196991830669,2.8261001729225663,19.742835364869094,9.220924343908958,1.7731372170295943,0.17113036414442895,5.750019142640186,0.42999668264838353,0.2599898469596038,5.977146438046125,3.9864769784466816,0.4896676562023166,0.17279717130255282,2.1805138741832137,7.960927791490117,17.960185039330767,29.50705149933995,31.961910344015223,21.87820229919573,10.083708044819499,2.169658443298113,0.460902038792748,1.7795980539188359,3.422512725160967,0.3775428621967633,0.19748238701966675,
AG,1701.4530025607462,5.402951131209094,0.9496876433838751,1.8670313698807548,65.26603608113011,19.70205919537279,1901.1103037123396,1791.210401103071,94.21917274370327,1223.8884250153033,64.37755992513374,846.3811451643645,44.520359682003594,3.3718029785384784,12.000344273203016,3.798559851185722,3.0218349859960605,20.47176405572157,8.586730423682436,1.6774273124177597,0.17705187065078473,5.750025927103007,0.4425588020409727,0.29803246998375,4.976044866225672,3.337653304924452,0.500581279812963,0.17072870822073485,2.071555492935055,6.349676652414856,19.071615388201305,30.0203498340103,27.91040803284569,18.412357628917796,9.498050403927893,1.9385407368762135,0.515851940058485,1.463452752414068,3.037538073607282,0.4399658683205172,0.23908528977893442,
AG,1661.1948894277702,5.344028255577288,0.8708825251544345,1.851439728681041,62.178545242947564,18.148002148049375,1810.4070626262724,1638.4203815222847,90.50010991149722,1039.370862578716,57.410893054678525,795.4024618661838,43.93500656765727,2.926462285671174,11.45519261781073,3.526205697884989,3.0534354360481473,18.20030115716567,9.220121684790593,1.7615970096127163,0.18237356346391356,5.749996910656353,0.44015827699344,0.2617007615158426,6.0427672662118805,3.31093868156855,0.4860310999333607,0.1665803375400746,2.1236232692345465,6.835832135519717,18.103495002927325,27.47650376570701,30.163319422987364,20.07475836214741,10.088561060839949,1.9898534826805157,0.502549563927143,1.666160010435,3.1839058247799144,0.4018236087344262,0.21525690229773037,
AG,1867.6639059572872,5.329607139006761,0.9158242019618146,1.872336306619361,68.70123608183358,19.110814732636104,1864.464394169809,1652.8228899440717,88.64867010131479,1105.8634287898778,59.3126600994859,826.9392445718258,44.35264342712414,3.3944339049565766,11.863922676139474,3.8096551844402944,3.180749768613212,20.090181147463166,7.974508768007298,1.653842873696036,0.17809705937903447,5.749955341695405,0.4392988422869058,0.22451686453879274,5.081505081901428,3.4611625011923595,0.49119076030280395,0.1676777744418279,2.087561268751764,7.433701217022149,19.1083941693911,29.649791673598866,28.523775191838556,19.717772942563734,8.806002249274822,2.2391287651768996,0.4466022747561801,1.4927353360508724,3.0443985166803347,0.4373405253766792,0.2287153007301884,
